"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"1100";"26,6";"26,7";"25,0";"68,0";"76,0";"68,0";"20,2";"20,6";"20,1";"993,4";"993,4";"992,7";"2,5";"97,0";"5,9";"583,40";"0,2"
"01/01/2022";"1200";"28,8";"29,3";"26,6";"56,0";"68,0";"56,0";"19,2";"20,5";"19,2";"993,4";"993,5";"993,4";"3,6";"86,0";"7,2";"1699,50";"0,0"
"01/01/2022";"1300";"30,8";"31,2";"28,7";"50,0";"57,0";"48,0";"19,2";"19,8";"18,3";"992,9";"993,5";"992,9";"3,7";"74,0";"7,5";"2493,50";"0,0"
"01/01/2022";"1400";"32,5";"32,8";"30,8";"43,0";"50,0";"41,0";"18,2";"18,9";"17,5";"992,3";"992,9";"992,3";"3,5";"111,0";"8,3";"3289,20";"0,0"
"01/01/2022";"1500";"34,6";"34,6";"32,0";"36,0";"43,0";"34,0";"17,1";"18,0";"15,9";"991,6";"992,4";"991,6";"2,0";"93,0";"8,3";"3546,40";"0,0"
"01/01/2022";"1600";"33,4";"35,0";"33,0";"36,0";"39,0";"33,0";"16,1";"17,4";"15,5";"990,7";"991,6";"990,7";"2,2";"72,0";"7,1";"2025,50";"0,0"
"01/01/2022";"1700";"33,9";"35,2";"33,4";"33,0";"36,0";"31,0";"15,3";"16,5";"15,1";"989,8";"990,7";"989,8";"1,9";"42,0";"5,1";"2276,90";"0,2"
"01/01/2022";"1800";"36,3";"36,3";"33,9";"27,0";"35,0";"27,0";"14,3";"16,5";"14,1";"988,7";"989,8";"988,7";"1,8";"111,0";"5,4";"3021,40";"0,0"
"01/01/2022";"1900";"35,7";"36,3";"35,4";"28,0";"30,0";"26,0";"14,4";"15,4";"13,4";"988,0";"988,7";"988,0";"1,5";"69,0";"4,9";"2076,90";"0,0"
"01/01/2022";"2000";"34,3";"36,3";"34,3";"30,0";"31,0";"26,0";"14,0";"15,0";"13,8";"988,0";"988,0";"987,8";"2,3";"76,0";"6,7";"980,60";"0,0"
"01/01/2022";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1100";"27,7";"27,9";"26,3";"63,0";"68,0";"62,0";"20,0";"20,2";"19,7";"993,9";"993,9";"993,2";"4,0";"96,0";"7,9";"1195,90";"0,0"
"02/01/2022";"1200";"29,0";"29,6";"27,7";"57,0";"63,0";"56,0";"19,6";"20,3";"19,6";"994,4";"994,4";"993,9";"3,0";"92,0";"8,1";"1886,20";"0,0"
