Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9406908,-,-,-,-6.46,-37.09,-3,162,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,Relative Humidity,GHI,Pressure,Wind Speed
2023,1,1,0,0,23.900000000000002,0,0,3,81.36,0,992,3.2
2023,1,1,1,0,23.6,0,0,7,83.89,0,991,3
2023,1,1,2,0,23.400000000000002,0,0,7,85.61,0,991,2.9000000000000004
2023,1,1,3,0,23.3,0,0,7,86.57000000000001,0,991,2.6
2023,1,1,4,0,23.200000000000003,0,0,8,87.45,0,991,2.3000000000000003
2023,1,1,5,0,23.400000000000002,0,0,7,86.84,0,992,2.5
2023,1,1,6,0,25.1,52,4,7,77.97,53,992,4
2023,1,1,7,0,27.400000000000002,8,719,7,65.16,287,993,4.7
2023,1,1,8,0,29.6,227,447,7,53.26,493,993,4.800000000000001
2023,1,1,9,0,31.6,195,738,7,44.51,760,992,4.7
2023,1,1,10,0,33.300000000000004,118,938,1,38.94,950,992,4.6000000000000005
2023,1,1,11,0,34.7,122,869,7,35.34,948,991,4.4
2023,1,1,12,0,35.6,106,883,7,33.4,947,990,4.3
2023,1,1,13,0,35.9,158,847,7,32.97,913,989,4.2
2023,1,1,14,0,35.6,109,900,1,33.83,806,988,4.3
2023,1,1,15,0,34.5,209,1,3,36.51,210,988,4.3
2023,1,1,16,0,33.1,221,189,3,40.43,297,988,4.4
2023,1,1,17,0,31.3,63,300,7,46.61,115,989,4
2023,1,1,18,0,29.900000000000002,0,0,7,51.81,0,990,4
2023,1,1,19,0,29,0,0,7,55.76,0,991,3.9000000000000004
2023,1,1,20,0,27.900000000000002,0,0,7,61.07,0,992,3.9000000000000004
2023,1,1,21,0,26.900000000000002,0,0,7,67.09,0,992,4
2023,1,1,22,0,25.900000000000002,0,0,0,74.32000000000001,0,992,3.8000000000000003
2023,1,1,23,0,25.3,0,0,3,79.58,0,991,3.4000000000000004
2023,1,2,0,0,24.8,0,0,3,83.43,0,991,3
2023,1,2,1,0,24.5,0,0,4,85.27,0,990,2.8000000000000003
2023,1,2,2,0,24.200000000000003,0,0,7,86.85000000000001,0,990,2.5
2023,1,2,3,0,24,0,0,7,87.87,0,991,2.3000000000000003
2023,1,2,4,0,23.900000000000002,0,0,7,87.98,0,991,2.3000000000000003
2023,1,2,5,0,24.1,0,0,0,86.62,0,992,2.8000000000000003
2023,1,2,6,0,26,75,229,8,75.9,110,993,4.6000000000000005
2023,1,2,7,0,28.5,186,125,8,62.53,234,993,5.4
2023,1,2,8,0,30.8,281,159,7,52.15,375,993,5.4
2023,1,2,9,0,32.7,332,311,7,45.15,570,992,5.1000000000000005
2023,1,2,10,0,34.1,191,685,8,40.71,798,992,4.9
