Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9406908,-,-,-,-6.46,-37.09,-3,162,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,Relative Humidity,GHI,Pressure,Wind Speed
2024,1,1,0,0,26.3,0,0,6,87.09,0,990,0
2024,1,1,1,0,26.1,0,0,6,88.77,0,990,0
2024,1,1,2,0,25.900000000000002,0,0,6,90.43,0,990,0
2024,1,1,3,0,25.8,0,0,8,91.33,0,989,0
2024,1,1,4,0,25.6,0,0,8,92.76,0,990,0
2024,1,1,5,0,25.6,0,0,8,93.2,0,991,0
2024,1,1,6,0,25.900000000000002,3,0,7,91.49,3,992,0
2024,1,1,7,0,26.3,6,0,7,87.99,6,993,0
2024,1,1,8,0,26.700000000000003,74,0,6,84.25,74,994,0
2024,1,1,9,0,27.3,341,167,7,79.15,469,994,0
2024,1,1,10,0,27.8,421,95,7,74.92,506,994,0
2024,1,1,11,0,28.3,320,11,7,71.74,331,993,0
2024,1,1,12,0,28.5,412,157,8,70.69,561,993,0
2024,1,1,13,0,28.6,364,21,8,70.25,383,992,0
2024,1,1,14,0,28.5,210,3,7,70.43,213,991,0
2024,1,1,15,0,28.200000000000003,192,14,7,71.66,201,990,0
2024,1,1,16,0,27.700000000000003,58,0,6,75.01,59,990,0
2024,1,1,17,0,26.8,54,1,5,84.51,54,991,0
2024,1,1,18,0,26.1,0,0,7,89.85000000000001,0,992,0
2024,1,1,19,0,25.8,0,0,7,90.28,0,992,0
