Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9416405,-,-,-,-5.16,-36.57,-3,19,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Relative Humidity,Cloud Type,Pressure,Wind Speed
2023,1,1,0,0,25.900000000000002,0,0,0,85.74,7,1011,4.7
2023,1,1,1,0,25.6,0,0,0,87.39,7,1010,4.4
2023,1,1,2,0,25.400000000000002,0,0,0,88.61,6,1010,4.2
2023,1,1,3,0,25.200000000000003,0,0,0,89.78,8,1010,4
2023,1,1,4,0,25.1,0,0,0,90.38,7,1010,3.8000000000000003
2023,1,1,5,0,25.200000000000003,0,0,0,89.99,8,1011,3.8000000000000003
2023,1,1,6,0,26.200000000000003,403,47,111,83.87,0,1011,4.4
2023,1,1,7,0,27.8,694,80,349,73.72,0,1012,4.9
2023,1,1,8,0,29.400000000000002,685,164,571,65.26,8,1012,5
2023,1,1,9,0,31,866,121,782,58.45,1,1012,5
2023,1,1,10,0,32.2,47,438,480,54.22,3,1011,5
2023,1,1,11,0,32.800000000000004,556,384,909,52.24,3,1010,5.1000000000000005
2023,1,1,12,0,32.9,890,114,954,51.72,7,1009,5.300000000000001
2023,1,1,13,0,32.7,689,196,804,52.160000000000004,7,1008,5.4
2023,1,1,14,0,32.1,509,250,638,54.02,7,1008,5.4
2023,1,1,15,0,31.400000000000002,719,138,564,56.38,7,1008,5.4
2023,1,1,16,0,30.6,577,107,330,59.35,7,1008,5.4
2023,1,1,17,0,29.5,26,76,80,64.35,7,1009,5
2023,1,1,18,0,28.6,0,0,0,69.93,7,1010,4.7
2023,1,1,19,0,28.1,0,0,0,73.83,7,1011,4.7
2023,1,1,20,0,27.6,0,0,0,77.36,7,1011,4.800000000000001
2023,1,1,21,0,27.200000000000003,0,0,0,80.61,7,1012,4.7
2023,1,1,22,0,26.8,0,0,0,83.76,7,1011,4.6000000000000005
2023,1,1,23,0,26.5,0,0,0,86.34,7,1011,4.4
2023,1,2,0,0,26.3,0,0,0,88.04,7,1010,4.2
2023,1,2,1,0,26.1,0,0,0,89.63,7,1009,4
2023,1,2,2,0,25.900000000000002,0,0,0,91.2,7,1009,3.8000000000000003
2023,1,2,3,0,25.8,0,0,0,92.04,7,1009,3.6
2023,1,2,4,0,25.700000000000003,0,0,0,92.76,7,1010,3.5
2023,1,2,5,0,25.8,0,0,0,92.24,7,1011,3.7
2023,1,2,6,0,26.700000000000003,63,88,97,86.67,7,1011,4.6000000000000005
2023,1,2,7,0,28,116,202,247,77.61,7,1012,5.5
2023,1,2,8,0,29.200000000000003,239,286,428,69.77,7,1012,5.6000000000000005
2023,1,2,9,0,30.200000000000003,499,261,641,64.11,7,1012,5.5
2023,1,2,10,0,30.900000000000002,274,385,626,60.43,7,1011,5.2
2023,1,2,11,0,31.3,772,168,898,58.4,7,1010,5.1000000000000005
2023,1,2,12,0,31.400000000000002,692,202,855,57.730000000000004,7,1010,5.1000000000000005
2023,1,2,13,0,31.200000000000003,309,387,660,58.24,7,1009,5.2
2023,1,2,14,0,30.8,314,355,594,59.59,6,1008,5.300000000000001
2023,1,2,15,0,30.3,166,281,379,61.5,6,1008,5.4
2023,1,2,16,0,29.6,75,186,215,64.55,7,1009,5.4
2023,1,2,17,0,28.6,11,71,73,69.76,7,1010,4.9
2023,1,2,18,0,28,0,0,0,73.67,7,1010,4.800000000000001
2023,1,2,19,0,27.5,0,0,0,77.13,7,1011,4.800000000000001
2023,1,2,20,0,27.200000000000003,0,0,0,79.84,8,1012,4.7
2023,1,2,21,0,26.8,0,0,0,82.97,7,1012,4.6000000000000005
2023,1,2,22,0,26.5,0,0,0,85.38,7,1011,4.4
2023,1,2,23,0,26.3,0,0,0,87.16,0,1011,4.3
2023,1,3,0,0,26.1,0,0,0,88.76,8,1010,4
2023,1,3,1,0,25.900000000000002,0,0,0,90.12,8,1010,3.9000000000000004
2023,1,3,2,0,25.700000000000003,0,0,0,91.24,7,1009,3.7
2023,1,3,3,0,25.5,0,0,0,92.44,8,1010,3.7
2023,1,3,4,0,25.400000000000002,0,0,0,92.92,7,1010,3.6
2023,1,3,5,0,25.5,0,0,0,92.39,7,1010,3.8000000000000003
2023,1,3,6,0,26.400000000000002,291,52,97,87.17,7,1011,4.6000000000000005
2023,1,3,7,0,27.5,232,187,277,79.59,7,1012,5.4
2023,1,3,8,0,28.5,440,243,504,73.47,7,1012,5.800000000000001
2023,1,3,9,0,29.200000000000003,226,430,602,69.26,3,1012,5.9
2023,1,3,10,0,29.700000000000003,399,445,797,66.5,3,1012,5.9
2023,1,3,11,0,30,716,249,925,64.84,7,1011,5.800000000000001
2023,1,3,12,0,30.1,54,422,473,63.92,7,1011,5.7
2023,1,3,13,0,30.1,438,357,744,63.38,7,1010,5.6000000000000005
2023,1,3,14,0,29.700000000000003,88,375,442,64.45,6,1009,5.5
2023,1,3,15,0,29.400000000000002,174,286,390,65.3,6,1009,5.5
2023,1,3,16,0,28.8,34,173,186,67.71000000000001,6,1010,5.300000000000001
2023,1,3,17,0,27.8,2,52,52,72.82000000000001,6,1010,4.7
2023,1,3,18,0,27.200000000000003,0,0,0,76.74,6,1011,4.5
2023,1,3,19,0,26.8,0,0,0,79.64,6,1012,4.5
2023,1,3,20,0,26.5,0,0,0,81.92,7,1012,4.5
2023,1,3,21,0,26.200000000000003,0,0,0,84.13,7,1012,4.4
2023,1,3,22,0,26,0,0,0,85.84,8,1012,4.3
2023,1,3,23,0,25.700000000000003,0,0,0,87.9,8,1011,4.1000000000000005
2023,1,4,0,0,25.5,0,0,0,89.32000000000001,0,1011,4
2023,1,4,1,0,25.200000000000003,0,0,0,91.02,1,1010,3.9000000000000004
2023,1,4,2,0,25.1,0,0,0,91.61,1,1010,3.9000000000000004
2023,1,4,3,0,25,0,0,0,92.09,3,1010,3.9000000000000004
2023,1,4,4,0,24.900000000000002,0,0,0,92.54,3,1010,3.9000000000000004
2023,1,4,5,0,24.900000000000002,0,0,0,92.52,1,1011,4
2023,1,4,6,0,25.900000000000002,328,52,102,86.62,1,1011,4.7
2023,1,4,7,0,27.400000000000002,647,92,340,76.14,0,1012,5.6000000000000005
2023,1,4,8,0,29,785,114,578,66.6,0,1012,5.7
2023,1,4,9,0,30.6,856,131,782,59.160000000000004,1,1012,5.6000000000000005
2023,1,4,10,0,31.900000000000002,893,142,930,53.79,0,1012,5.4
2023,1,4,11,0,32.9,907,148,1006,50.02,1,1011,5.300000000000001
2023,1,4,12,0,33.4,899,155,1005,48.17,0,1010,5.4
2023,1,4,13,0,33.4,875,155,929,47.97,0,1009,5.5
2023,1,4,14,0,33,829,147,783,48.78,0,1009,5.7
2023,1,4,15,0,32.2,742,135,579,50.53,0,1009,5.800000000000001
2023,1,4,16,0,31.1,601,107,342,53.34,0,1009,5.800000000000001
2023,1,4,17,0,29.5,305,59,108,59.13,0,1010,5.4
2023,1,4,18,0,28.200000000000003,0,0,0,65.5,8,1011,5.300000000000001
2023,1,4,19,0,27.5,0,0,0,69.7,8,1011,5.300000000000001
2023,1,4,20,0,26.8,0,0,0,74.35000000000001,0,1012,5.300000000000001
2023,1,4,21,0,26.3,0,0,0,78.65,0,1012,5
2023,1,4,22,0,25.900000000000002,0,0,0,82.68,7,1012,4.7
2023,1,4,23,0,25.6,0,0,0,85.93,3,1011,4.3
2023,1,5,0,0,25.3,0,0,0,88.67,1,1010,4.1000000000000005
2023,1,5,1,0,25.1,0,0,0,90.37,0,1010,4
2023,1,5,2,0,24.900000000000002,0,0,0,91.64,1,1010,3.9000000000000004
2023,1,5,3,0,24.8,0,0,0,91.92,1,1010,4
2023,1,5,4,0,24.6,0,0,0,92.65,1,1011,4.1000000000000005
