Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9416405,-,-,-,-5.16,-36.57,-3,19,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Relative Humidity,Cloud Type,Pressure,Wind Speed
2024,1,1,0,0,26.8,0,0,0,92.94,1,1010,0
2024,1,1,1,0,26.6,0,0,0,93.75,7,1009,0
2024,1,1,2,0,26.5,0,0,0,94.01,7,1009,0
2024,1,1,3,0,26.5,0,0,0,93.58,7,1010,0
2024,1,1,4,0,26.400000000000002,0,0,0,93.69,7,1010,0
2024,1,1,5,0,26.400000000000002,0,0,0,93.58,7,1011,0
2024,1,1,6,0,27,0,3,3,90.02,6,1012,0
2024,1,1,7,0,27.6,0,7,7,85.86,6,1012,0
2024,1,1,8,0,28.200000000000003,0,16,16,81.99,6,1013,0
2024,1,1,9,0,28.700000000000003,0,48,48,78.76,6,1013,0
2024,1,1,10,0,29,0,68,68,76.66,6,1013,0
2024,1,1,11,0,29.1,0,124,124,75.55,6,1012,0
2024,1,1,12,0,29.200000000000003,10,352,361,74.44,7,1011,0
2024,1,1,13,0,29.1,11,339,348,74.7,7,1011,0
2024,1,1,14,0,29,2,179,180,74.95,7,1010,0
2024,1,1,15,0,28.8,8,170,175,75.73,7,1010,0
2024,1,1,16,0,28.3,1,67,67,78.54,8,1010,0
2024,1,1,17,0,27.6,324,52,103,85.13,7,1010,0
2024,1,1,18,0,27.1,0,0,0,88.74,7,1011,0
2024,1,1,19,0,26.8,0,0,0,90.16,7,1012,0
2024,1,1,20,0,26.6,0,0,0,91.10000000000001,7,1012,0
2024,1,1,21,0,26.5,0,0,0,91.53,7,1012,0
2024,1,1,22,0,26.400000000000002,0,0,0,92.09,1,1012,0
2024,1,1,23,0,26.3,0,0,0,92.5,7,1011,0
2024,1,2,0,0,26.200000000000003,0,0,0,92.95,8,1011,0
2024,1,2,1,0,26,0,0,0,93.79,1,1010,0
2024,1,2,2,0,25.900000000000002,0,0,0,94.05,1,1010,0
2024,1,2,3,0,25.8,0,0,0,94.16,2,1010,0
2024,1,2,4,0,25.700000000000003,0,0,0,94.10000000000001,1,1010,0
2024,1,2,5,0,25.900000000000002,0,0,0,93.38,1,1011,0
2024,1,2,6,0,26.900000000000002,414,44,109,87.41,1,1011,0
2024,1,2,7,0,28,707,72,346,80.79,0,1012,0
2024,1,2,8,0,29.1,831,89,582,74.79,1,1012,0
2024,1,2,9,0,30,891,102,781,70.35000000000001,0,1012,0
2024,1,2,10,0,30.700000000000003,925,109,925,67.25,0,1012,0
2024,1,2,11,0,31.3,940,113,1001,64.51,0,1011,0
2024,1,2,12,0,31.6,939,115,1002,63,0,1011,0
2024,1,2,13,0,31.5,921,112,926,62.88,0,1010,0
2024,1,2,14,0,31.200000000000003,884,106,782,63.51,0,1009,0
2024,1,2,15,0,30.6,823,94,583,65.5,0,1009,0
2024,1,2,16,0,29.700000000000003,701,75,346,69.29,2,1009,0
2024,1,2,17,0,28.6,18,68,71,75.33,7,1009,0
2024,1,2,18,0,27.8,0,0,0,81.05,0,1010,0
2024,1,2,19,0,27.5,0,0,0,84.10000000000001,1,1011,0
2024,1,2,20,0,27.200000000000003,0,0,0,86.64,1,1012,0
2024,1,2,21,0,27,0,0,0,88.17,1,1012,0
2024,1,2,22,0,26.8,0,0,0,89.43,1,1011,0
2024,1,2,23,0,26.6,0,0,0,90.73,2,1011,0
2024,1,3,0,0,26.400000000000002,0,0,0,91.74,3,1010,0
2024,1,3,1,0,26.200000000000003,0,0,0,92.77,1,1010,0
2024,1,3,2,0,26.1,0,0,0,93.25,1,1010,0
2024,1,3,3,0,26,0,0,0,93.69,1,1010,0
2024,1,3,4,0,25.900000000000002,0,0,0,94.14,1,1011,0
2024,1,3,5,0,26.1,0,0,0,93.33,1,1012,0
2024,1,3,6,0,27.400000000000002,446,41,110,85.33,1,1012,0
2024,1,3,7,0,28.700000000000003,727,69,349,77.21000000000001,0,1013,0
2024,1,3,8,0,30.1,850,85,588,70,1,1013,0
2024,1,3,9,0,31.3,899,102,787,64.48,1,1013,0
2024,1,3,10,0,32.2,934,109,933,60.69,1,1012,0
2024,1,3,11,0,32.800000000000004,950,114,1011,58.36,0,1012,0
2024,1,3,12,0,33,943,119,1010,57.34,0,1011,0
2024,1,3,13,0,33,925,117,934,56.92,0,1010,0
2024,1,3,14,0,32.7,886,111,789,57.370000000000005,0,1009,0
2024,1,3,15,0,32,817,100,587,59.370000000000005,0,1009,0
2024,1,3,16,0,31,685,82,349,62.95,0,1010,0
2024,1,3,17,0,29.6,395,48,111,69.62,1,1010,0
2024,1,3,18,0,28.6,0,0,0,75.82000000000001,0,1011,0
2024,1,3,19,0,28.1,0,0,0,79.82000000000001,0,1012,0
2024,1,3,20,0,27.700000000000003,0,0,0,83.10000000000001,3,1013,0
2024,1,3,21,0,27.3,0,0,0,85.93,0,1013,0
2024,1,3,22,0,27,0,0,0,88.03,0,1012,0
2024,1,3,23,0,26.700000000000003,0,0,0,90.15,0,1012,0
2024,1,4,0,0,26.400000000000002,0,0,0,91.92,0,1011,0
2024,1,4,1,0,26.3,0,0,0,92.51,1,1011,0
2024,1,4,2,0,26.1,0,0,0,93.59,0,1011,0
2024,1,4,3,0,25.900000000000002,0,0,0,94.58,1,1011,0
2024,1,4,4,0,25.8,0,0,0,95,1,1011,0
2024,1,4,5,0,26.1,0,0,0,93.54,1,1012,0
2024,1,4,6,0,27.400000000000002,481,39,112,85.48,1,1012,0
2024,1,4,7,0,29,754,65,354,75.58,0,1013,0
2024,1,4,8,0,30.3,871,80,595,68.5,1,1013,0
2024,1,4,9,0,31.5,907,103,793,62.64,1,1012,0
2024,1,4,10,0,32.4,943,109,941,58.56,1,1012,0
2024,1,4,11,0,33,962,110,1019,56,1,1011,0
2024,1,4,12,0,33.300000000000004,965,108,1021,54.65,1,1010,0
2024,1,4,13,0,33.2,951,103,945,54.61,1,1009,0
2024,1,4,14,0,32.9,918,96,800,55.43,0,1009,0
2024,1,4,15,0,32.300000000000004,841,92,595,57.24,0,1009,0
2024,1,4,16,0,31.3,717,75,356,60.730000000000004,0,1009,0
2024,1,4,17,0,29.900000000000002,439,45,115,67.2,1,1010,0
2024,1,4,18,0,28.900000000000002,0,0,0,73.25,0,1010,0
2024,1,4,19,0,28.3,0,0,0,77.96000000000001,0,1011,0
2024,1,4,20,0,27.900000000000002,0,0,0,81.61,0,1012,0
2024,1,4,21,0,27.5,0,0,0,84.75,0,1012,0
2024,1,4,22,0,27.200000000000003,0,0,0,87.03,0,1012,0
2024,1,4,23,0,26.900000000000002,0,0,0,88.8,0,1011,0
2024,1,5,0,0,26.700000000000003,0,0,0,89.8,1,1010,0
2024,1,5,1,0,26.5,0,0,0,90.65,1,1010,0
2024,1,5,2,0,26.400000000000002,0,0,0,90.97,1,1010,0
2024,1,5,3,0,26.3,0,0,0,91.52,1,1010,0
2024,1,5,4,0,26.1,0,0,0,92.75,0,1011,0
2024,1,5,5,0,26.200000000000003,0,0,0,92.32000000000001,1,1011,0
2024,1,5,6,0,27.6,459,40,109,83.10000000000001,1,1012,0
2024,1,5,7,0,29.1,225,193,279,73.56,3,1012,0
2024,1,5,8,0,30.6,865,84,594,65.35,1,1012,0
2024,1,5,9,0,31.900000000000002,924,97,800,58.54,0,1011,0
2024,1,5,10,0,33,957,105,949,53.54,0,1011,0
2024,1,5,11,0,33.7,969,110,1026,50.64,0,1010,0
