Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9391310,-,-,-,-5.62,-37.81,-3,125,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DNI,Wind Speed,GHI,Relative Humidity,DHI,Temperature,Pressure,Cloud Type
2024,1,1,0,0,0,0,0,94.95,0,25.6,996,6
2024,1,1,1,0,0,0,0,96.63,0,25.400000000000002,996,6
2024,1,1,2,0,0,0,0,97.15,0,25.3,995,6
2024,1,1,3,0,0,0,0,97.42,0,25.200000000000003,995,6
2024,1,1,4,0,0,0,0,97.91,0,25.1,996,6
2024,1,1,5,0,0,0,0,97.82000000000001,0,25.200000000000003,997,6
2024,1,1,6,0,1,0,39,93.98,38,25.8,998,6
2024,1,1,7,0,9,0,127,90,123,26.3,998,6
2024,1,1,8,0,7,0,174,86.33,170,26.8,999,6
2024,1,1,9,0,0,0,126,81.44,125,27.5,999,6
2024,1,1,10,0,0,0,138,77.28,138,28.1,999,6
2024,1,1,11,0,15,0,391,74.27,377,28.5,998,7
2024,1,1,12,0,18,0,411,72.56,394,28.700000000000003,998,7
2024,1,1,13,0,3,0,267,71.47,265,28.8,997,7
2024,1,1,14,0,6,0,238,71.41,233,28.700000000000003,996,7
2024,1,1,15,0,0,0,15,72.78,15,28.400000000000002,996,7
2024,1,1,16,0,19,0,151,76.47,143,27.900000000000002,996,7
2024,1,1,17,0,5,0,57,84.38,56,27,996,7
2024,1,1,18,0,0,0,0,87.9,0,26.3,997,7
2024,1,1,19,0,0,0,0,88.46000000000001,0,26,997,8
2024,1,1,20,0,0,0,0,90.48,0,25.6,998,8
2024,1,1,21,0,0,0,0,92.36,0,25.3,998,7
2024,1,1,22,0,0,0,0,94.44,0,25,998,8
