Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9433575,-,-,-,-5.16,-35.49,-3,16,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,GHI,Relative Humidity,Wind Speed,Pressure
2024,1,1,0,0,27.1,0,0,1,0,90.42,0,1011
2024,1,1,1,0,27,0,0,1,0,90.9,0,1010
2024,1,1,2,0,26.900000000000002,0,0,3,0,91.14,0,1010
2024,1,1,3,0,26.8,0,0,1,0,91.15,0,1010
2024,1,1,4,0,26.700000000000003,0,0,1,0,91.13,0,1011
2024,1,1,5,0,26.8,0,0,7,0,90.44,0,1011
2024,1,1,6,0,27.200000000000003,79,197,8,113,88.46000000000001,0,1012
2024,1,1,7,0,27.700000000000003,132,508,7,337,85.28,0,1013
2024,1,1,8,0,28.3,312,69,3,355,81.31,0,1013
2024,1,1,9,0,28.8,195,692,7,730,78.16,0,1013
2024,1,1,10,0,29.1,402,228,7,605,75.99,0,1013
2024,1,1,11,0,29.3,193,1,7,194,74.31,0,1013
2024,1,1,12,0,29.400000000000002,153,0,7,154,73.44,0,1012
2024,1,1,13,0,29.1,203,1,7,204,74.95,0,1011
2024,1,1,14,0,28.6,199,3,6,202,77.91,0,1011
2024,1,1,15,0,28.200000000000003,73,0,6,73,80.42,0,1010
2024,1,1,16,0,27.8,18,0,6,18,83.33,0,1011
2024,1,1,17,0,27.400000000000002,47,296,7,88,86.61,0,1011
2024,1,1,18,0,27.200000000000003,0,0,7,0,88.17,0,1012
