Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9425696,-,-,-,-6.22,-36.03,-3,238,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,GHI,Relative Humidity,Pressure,Wind Speed
2020,1,1,0,0,24.700000000000003,0,0,6,0,88.53,988,3.1
2020,1,1,1,0,24.400000000000002,0,0,6,0,90.51,987,2.9000000000000004
2020,1,1,2,0,24.3,0,0,6,0,91.52,987,2.8000000000000003
2020,1,1,3,0,24.200000000000003,0,0,6,0,92.32000000000001,987,2.6
2020,1,1,4,0,24.1,0,0,6,0,93.04,987,2.3000000000000003
2020,1,1,5,0,24.200000000000003,0,0,6,0,92.55,988,2.2
2020,1,1,6,0,25.3,38,1,6,39,85.04,989,3.2
2020,1,1,7,0,27.1,7,0,6,7,73.22,989,3.7
2020,1,1,8,0,28.900000000000002,131,2,6,132,62.96,989,3.7
2020,1,1,9,0,30.400000000000002,114,0,6,115,55.83,989,3.5
2020,1,1,10,0,31.6,169,0,6,169,50.910000000000004,989,3.5
2020,1,1,11,0,32.4,197,1,8,197,47.44,988,3.6
2020,1,1,12,0,32.7,161,1,8,162,45.69,987,3.7
2020,1,1,13,0,32.4,400,89,8,479,45.910000000000004,986,3.8000000000000003
2020,1,1,14,0,31.8,303,369,8,585,47.36,986,4
2020,1,1,15,0,30.900000000000002,238,31,8,256,50.27,986,4.2
2020,1,1,16,0,29.5,6,0,8,6,55.74,986,4.3
2020,1,1,17,0,27.900000000000002,33,0,4,33,63.660000000000004,987,3.9000000000000004
2020,1,1,18,0,26.700000000000003,0,0,8,0,71.11,988,3.8000000000000003
2020,1,1,19,0,26,0,0,4,0,76.41,989,3.7
2020,1,1,20,0,25.5,0,0,8,0,80.48,990,3.7
2020,1,1,21,0,25.200000000000003,0,0,8,0,83.14,990,3.5
2020,1,1,22,0,24.900000000000002,0,0,3,0,85.52,990,3.3000000000000003
2020,1,1,23,0,24.6,0,0,4,0,87.44,989,3.1
2020,1,2,0,0,24.400000000000002,0,0,4,0,88.52,988,2.9000000000000004
2020,1,2,1,0,24.200000000000003,0,0,1,0,89.48,988,2.9000000000000004
2020,1,2,2,0,24,0,0,1,0,90.33,988,3
2020,1,2,3,0,23.900000000000002,0,0,1,0,90.64,988,3
2020,1,2,4,0,23.8,0,0,0,0,91.05,988,3
2020,1,2,5,0,23.900000000000002,0,0,7,0,90.56,989,3.3000000000000003
2020,1,2,6,0,25.1,81,7,3,82,82.87,989,4.2
2020,1,2,7,0,26.900000000000002,203,27,4,214,71.45,990,4.7
2020,1,2,8,0,28.8,269,56,8,303,60.980000000000004,990,4.800000000000001
2020,1,2,9,0,30.5,157,0,4,157,52.68,989,4.7
2020,1,2,10,0,31.6,107,945,1,949,47.27,989,4.6000000000000005
2020,1,2,11,0,32.1,255,627,7,852,44.300000000000004,988,4.5
2020,1,2,12,0,32.300000000000004,367,412,7,758,42.77,987,4.5
2020,1,2,13,0,32.2,418,212,7,606,42.53,987,4.6000000000000005
2020,1,2,14,0,31.900000000000002,348,289,7,568,43.14,986,4.7
2020,1,2,15,0,31.200000000000003,241,364,7,456,45.17,986,4.800000000000001
2020,1,2,16,0,30,154,349,7,289,49.24,986,4.800000000000001
2020,1,2,17,0,28,77,30,7,81,57.49,987,4.1000000000000005
2020,1,2,18,0,26.400000000000002,0,0,7,0,66.71000000000001,988,3.7
2020,1,2,19,0,25.5,0,0,0,0,74.05,989,3.4000000000000004
2020,1,2,20,0,24.700000000000003,0,0,0,0,81.25,990,3.1
2020,1,2,21,0,24.200000000000003,0,0,0,0,86.91,990,2.8000000000000003
2020,1,2,22,0,23.8,0,0,0,0,91.3,990,2.6
