Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9411068,-,-,-,-5.54,-36.87,-3,22,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Pressure,Wind Speed,Cloud Type
2018,1,1,0,0,26.400000000000002,0,0,0,76.88,1008,4,0
2018,1,1,1,0,26,0,0,0,79.10000000000001,1007,3.5,0
2018,1,1,2,0,25.700000000000003,0,0,0,80.87,1007,3.2,0
2018,1,1,3,0,25.400000000000002,0,0,0,82.67,1007,2.7,0
2018,1,1,4,0,25.1,0,0,0,84.44,1008,2.3000000000000003,0
2018,1,1,5,0,25.1,0,0,0,84.56,1008,2.6,0
2018,1,1,6,0,27,45,414,110,74.31,1009,4.3,1
2018,1,1,7,0,29.5,78,707,351,61.36,1009,4.800000000000001,0
2018,1,1,8,0,31.900000000000002,165,595,517,51.33,1009,4.6000000000000005,7
2018,1,1,9,0,34.2,266,481,632,42.97,1009,4.4,7
2018,1,1,10,0,36,117,936,943,36.87,1008,4.2,0
2018,1,1,11,0,37.300000000000004,123,949,1020,32.72,1007,4.1000000000000005,0
2018,1,1,12,0,38.1,530,206,725,30.22,1006,4.2,2
2018,1,1,13,0,38.400000000000006,118,935,946,29.060000000000002,1005,4.3,0
2018,1,1,14,0,38.1,112,0,112,29.19,1004,4.5,3
2018,1,1,15,0,37.2,103,821,595,30.52,1004,4.7,0
2018,1,1,16,0,35.7,85,686,354,33.34,1004,4.800000000000001,0
2018,1,1,17,0,33.7,50,391,114,38.32,1005,4.7,0
2018,1,1,18,0,31.900000000000002,0,0,0,44.47,1005,4.6000000000000005,0
2018,1,1,19,0,30.6,0,0,0,50.050000000000004,1006,4.7,0
2018,1,1,20,0,29.400000000000002,0,0,0,56.2,1006,4.9,0
2018,1,1,21,0,28.200000000000003,0,0,0,63.230000000000004,1007,5.1000000000000005,0
2018,1,1,22,0,27.200000000000003,0,0,0,69.77,1007,4.800000000000001,0
2018,1,1,23,0,26.400000000000002,0,0,0,74.88,1007,4.6000000000000005,0
2018,1,2,0,0,25.8,0,0,0,78.84,1006,4.2,0
2018,1,2,1,0,25.400000000000002,0,0,0,81.78,1006,3.7,0
2018,1,2,2,0,25.1,0,0,0,83.64,1006,3.3000000000000003,0
2018,1,2,3,0,24.900000000000002,0,0,0,84.63,1006,3,7
2018,1,2,4,0,24.700000000000003,0,0,0,85.35000000000001,1006,2.9000000000000004,4
2018,1,2,5,0,24.8,0,0,0,84.39,1007,2.9000000000000004,0
2018,1,2,6,0,26.1,54,322,103,75.57000000000001,1008,3.7,1
2018,1,2,7,0,28.200000000000003,202,273,307,63.67,1008,4.2,3
2018,1,2,8,0,30.5,111,809,589,53.1,1008,4.2,1
2018,1,2,9,0,32.9,118,893,797,44.04,1008,4,0
2018,1,2,10,0,35,465,127,577,37,1007,3.9000000000000004,3
2018,1,2,11,0,36.5,126,953,1027,32.44,1006,3.7,0
2018,1,2,12,0,37.4,128,951,1029,29.97,1005,3.7,0
2018,1,2,13,0,37.7,126,930,951,29.1,1003,3.8000000000000003,0
2018,1,2,14,0,37.4,120,890,804,29.61,1003,4.1000000000000005,0
2018,1,2,15,0,36.300000000000004,110,812,598,31.85,1003,4.5,0
2018,1,2,16,0,34.6,91,671,356,36.25,1003,4.9,0
2018,1,2,17,0,32.1,53,374,115,44.910000000000004,1004,5.4,0
2018,1,2,18,0,30.1,0,0,0,54.800000000000004,1005,5.800000000000001,0
2018,1,2,19,0,28.700000000000003,0,0,0,62.35,1006,5.7,0
2018,1,2,20,0,27.900000000000002,0,0,0,66.61,1007,5.300000000000001,0
2018,1,2,21,0,27.5,0,0,0,68.77,1007,4.9,0
2018,1,2,22,0,27.1,0,0,0,70.59,1007,4.5,0
2018,1,2,23,0,26.8,0,0,0,72.05,1007,4.2,0
2018,1,3,0,0,26.400000000000002,0,0,0,73.98,1006,3.9000000000000004,0
2018,1,3,1,0,26.200000000000003,0,0,0,74.86,1006,3.6,0
2018,1,3,2,0,25.900000000000002,0,0,0,75.81,1006,3.2,0
2018,1,3,3,0,25.700000000000003,0,0,0,76.71000000000001,1006,2.8000000000000003,0
2018,1,3,4,0,25.400000000000002,0,0,0,78.21000000000001,1006,2.4000000000000004,0
2018,1,3,5,0,25.400000000000002,0,0,0,78.25,1007,2.4000000000000004,0
2018,1,3,6,0,27.1,49,351,102,68.13,1008,3.4000000000000004,0
2018,1,3,7,0,29.200000000000003,87,666,341,58.29,1009,3.6,0
2018,1,3,8,0,31.5,105,812,585,49.56,1009,3.6,0
2018,1,3,9,0,33.7,123,877,789,42.12,1008,3.7,0
2018,1,3,10,0,35.5,131,917,940,37.050000000000004,1008,3.7,0
2018,1,3,11,0,36.6,134,934,1018,34.08,1006,3.9000000000000004,0
2018,1,3,12,0,36.9,149,914,1016,33.02,1006,4,0
2018,1,3,13,0,36.4,148,890,939,33.63,1005,4.2,1
2018,1,3,14,0,35.6,142,844,792,35.160000000000004,1004,4.5,0
2018,1,3,15,0,34.300000000000004,128,764,589,38.1,1004,4.7,0
2018,1,3,16,0,33,193,260,296,41.77,1005,4.9,7
2018,1,3,17,0,31.3,88,77,101,47.52,1006,4.9,7
2018,1,3,18,0,29.8,0,0,0,53.83,1006,4.9,0
2018,1,3,19,0,28.8,0,0,0,59.09,1007,4.800000000000001,7
2018,1,3,20,0,28.1,0,0,0,63.01,1008,4.5,7
2018,1,3,21,0,27.6,0,0,0,65.95,1008,4,7
2018,1,3,22,0,27.200000000000003,0,0,0,68.52,1008,3.6,7
2018,1,3,23,0,26.8,0,0,0,70.95,1007,3.3000000000000003,7
2018,1,4,0,0,26.400000000000002,0,0,0,73.47,1007,3,7
2018,1,4,1,0,26,0,0,0,75.99,1007,2.5,7
2018,1,4,2,0,25.6,0,0,0,78.27,1007,2.3000000000000003,7
2018,1,4,3,0,25.400000000000002,0,0,0,79.4,1007,2.4000000000000004,7
2018,1,4,4,0,25.200000000000003,0,0,0,80.57000000000001,1008,2.5,7
2018,1,4,5,0,25.3,0,0,0,80.21000000000001,1009,2.6,0
2018,1,4,6,0,27,50,351,102,70.48,1010,3.3000000000000003,0
2018,1,4,7,0,29.3,88,669,342,58.28,1010,3.7,0
2018,1,4,8,0,31.6,105,818,587,49.050000000000004,1010,3.9000000000000004,0
2018,1,4,9,0,33.4,115,897,796,42.230000000000004,1010,3.8000000000000003,0
2018,1,4,10,0,34.4,120,937,947,38.02,1009,3.6,0
2018,1,4,11,0,34.800000000000004,124,953,1026,35.79,1009,3.5,1
2018,1,4,12,0,35.5,273,635,876,33.58,1008,3.7,7
2018,1,4,13,0,36.6,118,939,953,31.13,1007,4.2,0
2018,1,4,14,0,36.4,113,897,806,31.43,1006,4.5,0
2018,1,4,15,0,34.800000000000004,105,822,602,34.7,1006,4.7,0
2018,1,4,16,0,33.1,87,686,361,39.37,1006,4.800000000000001,0
2018,1,4,17,0,31.5,82,36,88,45.47,1007,4.7,7
2018,1,4,18,0,30.1,0,0,0,52.300000000000004,1008,4.6000000000000005,7
2018,1,4,19,0,29.1,0,0,0,58.07,1009,4.800000000000001,7
2018,1,4,20,0,28.5,0,0,0,61.940000000000005,1010,4.9,7
2018,1,4,21,0,28,0,0,0,64.75,1010,4.7,7
2018,1,4,22,0,27.5,0,0,0,67.21000000000001,1010,4.4,6
2018,1,4,23,0,27,0,0,0,70.01,1010,3.9000000000000004,7
2018,1,5,0,0,26.400000000000002,0,0,0,73.34,1009,3.5,7
2018,1,5,1,0,25.900000000000002,0,0,0,76.37,1009,3.2,7
2018,1,5,2,0,25.5,0,0,0,78.76,1009,3,7
2018,1,5,3,0,25.200000000000003,0,0,0,80.32000000000001,1009,2.6,7
2018,1,5,4,0,24.900000000000002,0,0,0,81.58,1009,2.4000000000000004,7
2018,1,5,5,0,24.8,0,0,0,81.76,1010,2.4000000000000004,7
2018,1,5,6,0,26.200000000000003,56,5,57,72.98,1010,3.9000000000000004,6
2018,1,5,7,0,28,176,39,191,62.54,1010,4.800000000000001,6
2018,1,5,8,0,30.200000000000003,211,19,222,52.61,1011,5,6
2018,1,5,9,0,32.7,368,117,457,43.01,1010,5.1000000000000005,6
2018,1,5,10,0,34.9,437,177,593,35.65,1010,5,6
2018,1,5,11,0,36.6,436,232,656,30.93,1009,5.1000000000000005,6
2018,1,5,12,0,37.7,263,591,824,28.42,1008,5.1000000000000005,7
2018,1,5,13,0,37.9,470,120,577,28.21,1006,5.300000000000001,6
2018,1,5,14,0,37.300000000000004,362,72,418,29.77,1006,5.6000000000000005,6
2018,1,5,15,0,36.1,275,54,307,32.75,1006,5.800000000000001,6
2018,1,5,16,0,34.2,34,0,34,37.46,1006,5.800000000000001,6
2018,1,5,17,0,32.1,54,3,54,43.7,1007,5.4,6
2018,1,5,18,0,30.6,0,0,0,49.72,1008,4.9,7
2018,1,5,19,0,29.5,0,0,0,55,1009,4.7,7
2018,1,5,20,0,28.700000000000003,0,0,0,59.35,1009,4.800000000000001,7
2018,1,5,21,0,27.900000000000002,0,0,0,63.92,1010,4.6000000000000005,7
2018,1,5,22,0,27.200000000000003,0,0,0,68.54,1009,4.3,7
2018,1,5,23,0,26.6,0,0,0,73.09,1009,3.8000000000000003,7
2018,1,6,0,0,26,0,0,0,77.32000000000001,1008,3.4000000000000004,7
2018,1,6,1,0,25.6,0,0,0,80.33,1008,3.1,7
2018,1,6,2,0,25.200000000000003,0,0,0,82.93,1008,2.6,7
